127.0.0.1 - - [10/Mar/2017:21:57:52 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Mar/2017:21:57:52 -0500] "GET /messenger/ HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/Mar/2017:21:59:29 -0500] "POST /messenger/ HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/Mar/2017:22:00:24 -0500] "POST /messenger/webapi/messages HTTP/1.1" 405 1056
0:0:0:0:0:0:0:1 - - [10/Mar/2017:22:00:42 -0500] "POST /messenger/webapi/messages HTTP/1.1" 405 1056
0:0:0:0:0:0:0:1 - - [10/Mar/2017:22:01:41 -0500] "GET /messenger/webapi/messages HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [10/Mar/2017:22:15:50 -0500] "GET /messenger/webapi/messages HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:28:16 -0500] "GET /messenger/webapi/messages/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:29:40 -0500] "GET /messenger/webapi/messages/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:29:51 -0500] "GET /messenger/webapi/messages/1L HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:30:24 -0500] "GET /messenger/webapi/messages/1L HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:30:30 -0500] "GET /messenger/webapi/messages/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:31:51 -0500] "GET /messenger/webapi/messages/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:32:01 -0500] "GET /messenger/webapi/messages/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:33:01 -0500] "GET /messenger/webapi/messages/1 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:33:59 -0500] "GET /messenger/webapi/messages/3 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:40:22 -0500] "GET /messenger/webapi/messages/2 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:40:59 -0500] "GET /messenger/webapi/messages HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:41:03 -0500] "GET /messenger/webapi/messages/1 HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:53:10 -0500] "POST /messenger/webapi/messages HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:53:18 -0500] "GET /messenger/webapi/messages HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [10/Mar/2017:23:59:41 -0500] "GET /messenger/webapi/messages/1 HTTP/1.1" 200 65
